outaged_line,max_loading_pct,min_voltage_pu,max_voltage_pu,thermal_violation,voltage_violation,any_violation
0,90.92,0.982,1.0636,False,True,True
1,76.19,0.982,1.0636,False,True,True
2,76.21,0.982,1.0636,False,True,True
3,81.29,0.982,1.0636,False,True,True
4,73.32,0.9816,1.0636,False,True,True
5,73.45,0.982,1.0636,False,True,True
6,82.96,0.982,1.0636,False,True,True
7,103.33,0.982,1.0636,True,True,True
8,91.48,0.982,1.0636,False,True,True
9,86.5,0.982,1.0636,False,True,True
10,86.65,0.974,1.0636,False,True,True
11,105.98,0.982,1.0636,True,True,True
12,73.43,0.982,1.0636,False,True,True
13,73.85,0.9734,1.0636,False,True,True
14,73.46,0.982,1.0636,False,True,True
15,107.36,0.982,1.0636,True,True,True
16,111.81,0.982,1.0636,True,True,True
17,132.51,0.982,1.0636,True,True,True
18,73.45,0.982,1.0636,False,True,True
19,79.24,0.9369,1.0636,False,True,True
20,85.04,0.982,1.0636,False,True,True
21,81.6,0.982,1.0636,False,True,True
22,110.37,0.982,1.0636,True,True,True
23,74.56,0.982,1.0798,False,True,True
24,83.82,0.982,1.0636,False,True,True
25,73.8,0.982,1.0636,False,True,True
26,157.54,0.982,1.0636,True,True,True
27,73.5,0.982,1.0636,False,True,True
28,111.3,0.982,1.0636,True,True,True
29,88.31,0.9817,1.054,False,True,True
30,74.97,0.982,1.0636,False,True,True
31,106.27,0.982,1.074,True,True,True
32,73.7,0.982,1.0636,False,True,True
33,87.13,0.982,1.0636,False,True,True
34,87.15,0.982,1.0636,False,True,True
