length_km,q_charge_mvar,q_pct_of_farm,unc_converged,unc_v_off,unc_loading,unc_p_grid,unc_q_grid,unc_losses
10,10.947822079229713,5.4739110396148565,True,1.0051919950103818,88.9079732339065,199.01773234826123,8.647368311858372,0.9822676517383684
20,21.895644158459426,10.947822079229713,True,1.0108633441624921,88.73642249172342,198.05285795542795,17.46165514671702,1.947142044572331
30,32.843466237689135,16.421733118844568,True,1.0170347979598413,88.75835955664176,197.10287745496612,26.454619271096817,2.897122545042464
40,43.79128831691885,21.895644158459426,True,1.0237294431865382,88.9841095292505,196.16500027191955,35.63876099901199,3.8349997281497394
50,54.739110396148554,27.369555198074277,True,1.0309728534520104,89.42375507791026,195.2360833698133,45.027393027531616,4.763916630544912
60,65.68693247537827,32.843466237689135,True,1.0387932593452622,90.08702844519706,194.31256084958352,54.634715411206344,5.68743915041631
70,76.634754554608,38.317377277304,True,1.0472217393816987,90.98322381958455,193.39036273098952,64.47589515487311,6.609637269010534
80,87.5825766338377,43.79128831691885,True,1.0562924330864063,92.12113709560276,192.4648209557506,74.5671507618199,7.535179044249304
90,98.5303987130674,49.26519935653371,True,1.0660427778279358,93.50903854544609,191.53056033990902,84.92584224338862,8.46943966009107
100,109.47822079229711,54.739110396148554,True,1.076513771198034,95.15468176342412,190.5813717894988,95.5705669281001,9.418628210501197
110,120.42604287152682,60.21302143576341,True,1.0877502610024017,97.06534977687883,189.61006462684713,106.5212614559091,10.389935373152952
120,131.37386495075654,65.68693247537827,True,1.0998012651867466,99.24793672582891,188.60829430119935,117.79931027123575,11.391705698800479
130,142.32168702998626,71.16084351499313,True,1.1127203243110575,101.70906134263231,187.56636107025452,129.427660851562,12.433638929745001
140,153.269509109216,76.634754554608,True,1.1265658894928436,104.45520686279812,186.47297440930998,141.43094578246166,13.527025590686407
150,164.21733118844568,82.10866559422284,True,1.1414017490618849,107.49288111037707,185.3149769001779,153.83561159501733,14.68502309979462
160,175.1651532676754,87.5825766338377,True,1.1572974974914483,110.82879034051372,184.0770201328118,166.67005398496883,15.922979867004813
170,186.11297534690507,93.05648767345254,True,1.1743290504702042,114.47002089130326,182.74118366925939,179.9647585889512,17.25881632959124
180,197.0607974261348,98.53039871306741,True,1.1925792101828112,118.4242236153323,181.2865263195868,193.7524458001734,18.71347368041316
190,208.00861950536452,104.00430975268226,True,1.212138285087155,122.69979727404687,179.68855674629407,208.06821727995555,20.311443253706045
200,218.95644158459422,109.47822079229711,True,1.2331047680643616,127.30606821942186,177.91860779479106,222.94970009084875,22.081392205209028
