length_km,min_comp_ratio,q_comp_mvar,feasible,converged,v_off,loading,p_grid,q_grid,losses
10,0.0,0.0,True,True,1.0051919950103818,88.9079732339065,199.01773234826123,8.647368311858372,0.9822676517383684
20,0.0,0.0,True,True,1.0108633441624921,88.73642249172342,198.05285795542795,17.46165514671702,1.947142044572331
30,0.0,0.0,True,True,1.0170347979598413,88.75835955664176,197.10287745496612,26.454619271096817,2.897122545042464
40,0.0,0.0,True,True,1.0237294431865382,88.9841095292505,196.16500027191955,35.63876099901199,3.8349997281497394
50,0.0,0.0,True,True,1.0309728534520104,89.42375507791026,195.2360833698133,45.027393027531616,4.763916630544912
60,0.0,0.0,True,True,1.0387932593452622,90.08702844519706,194.31256084958352,54.634715411206344,5.68743915041631
70,0.0,0.0,True,True,1.0472217393816987,90.98322381958455,193.39036273098952,64.47589515487311,6.609637269010534
80,0.0,0.0,True,True,1.0562924330864063,92.12113709560276,192.4648209557506,74.5671507618199,7.535179044249304
90,0.2109375,20.783755978537656,True,True,1.0599425572115428,91.5358990480988,191.67653735280976,62.570341087547376,8.323462647190297
100,0.4609375,50.462617396449446,True,True,1.0599161710959206,90.17948983183763,190.9296699722512,40.888731780316675,9.070330027748753
110,0.6328125,76.20710525463807,True,True,1.0599187665308811,89.17484727940574,190.13968773915326,23.283111100312226,9.860312260846854
120,0.75390625,99.0435778730313,True,True,1.05993546751344,88.4002913822029,189.3196726645229,8.693301746256793,10.68032733547713
130,0.84375,120.08392343155091,True,True,1.059781752572759,88.88628163746036,188.47618502815067,-4.050242548780943,11.52381497184939
140,0.90625,138.90049263022698,True,True,1.059828662005985,90.4035444348315,187.61890421590562,-14.460217649489778,12.381095784094441
150,0.953125,156.51964378898728,True,True,1.0597941642638695,92.00175187267037,186.74905245688177,-23.630548986371195,13.250947543118144
160,0.98828125,173.11243662781985,True,True,1.0597071107266347,93.65433575040832,185.86946567072408,-31.734345065824527,14.13053432927589
170,,,False,True,1.0610988368564858,94.96732769103457,185.02616234760603,-35.937210365745614,14.973837652394025
180,,,False,True,1.0634335580998753,96.08618903367667,184.21488831812468,-37.88426803650054,15.785111681875321
190,,,False,True,1.0656404531594459,97.27935355284492,183.40687902157737,-39.82349034821448,16.59312097842269
200,,,False,True,1.0677201379962349,98.54388387028582,182.60153220662357,-41.75632270410324,17.39846779337637
